"Ctry_code"|"reg_code"|"reg_tl3"|"reg_tl3_label"
"US"|"US19127"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19129"|"US120"|"Omaha-Council Bluffs-Fremont - Ne-Ia"
"US"|"US19131"|"US103"|"Mason City - Ia"
"US"|"US19133"|"US154"|"Sioux City-Vermillion - Ia-Ne-Sd"
"US"|"US19135"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19137"|"US120"|"Omaha-Council Bluffs-Fremont - Ne-Ia"
"US"|"US19139"|"US027"|"Cedar Rapids - Ia"
"US"|"US19141"|"US154"|"Sioux City-Vermillion - Ia-Ne-Sd"
"US"|"US19143"|"US154"|"Sioux City-Vermillion - Ia-Ne-Sd"
"US"|"US19145"|"US120"|"Omaha-Council Bluffs-Fremont - Ne-Ia"
"US"|"US19147"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19149"|"US154"|"Sioux City-Vermillion - Ia-Ne-Sd"
"US"|"US19151"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19153"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19155"|"US120"|"Omaha-Council Bluffs-Fremont - Ne-Ia"
"US"|"US19157"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19159"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19161"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19163"|"US043"|"Davenport-Moline-Rock Island - Ia-Il"
"US"|"US19165"|"US120"|"Omaha-Council Bluffs-Fremont - Ne-Ia"
"US"|"US19167"|"US154"|"Sioux City-Vermillion - Ia-Ne-Sd"
"US"|"US19169"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19171"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19173"|"US120"|"Omaha-Council Bluffs-Fremont - Ne-Ia"
"US"|"US19175"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19177"|"US126"|"Peoria-Canton - Il"
"US"|"US19179"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19181"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19183"|"US027"|"Cedar Rapids - Ia"
"US"|"US19185"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19187"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19189"|"US103"|"Mason City - Ia"
"US"|"US19191"|"US103"|"Mason City - Ia"
"US"|"US19193"|"US154"|"Sioux City-Vermillion - Ia-Ne-Sd"
"US"|"US19195"|"US103"|"Mason City - Ia"
"US"|"US19197"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US20001"|"US083"|"Joplin - Mo"
"US"|"US20003"|"US084"|"Kansas City-Overland Park-Kansas City - Mo-Ks"
"US"|"US20005"|"US084"|"Kansas City-Overland Park-Kansas City - Mo-Ks"
"US"|"US20007"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20009"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20011"|"US083"|"Joplin - Mo"
"US"|"US20013"|"US167"|"Topeka - Ks"
"US"|"US20015"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20017"|"US167"|"Topeka - Ks"
"US"|"US20019"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20021"|"US083"|"Joplin - Mo"
"US"|"US20023"|"US141"|"Salina - Ks"
"US"|"US20025"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20027"|"US167"|"Topeka - Ks"
"US"|"US20029"|"US141"|"Salina - Ks"
"US"|"US20031"|"US167"|"Topeka - Ks"
"US"|"US20033"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20035"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20037"|"US083"|"Joplin - Mo"
"US"|"US20039"|"US141"|"Salina - Ks"
"US"|"US20041"|"US167"|"Topeka - Ks"
